body diag: graph_backend=kuzu seconds=3600 stamp=20260705_094611
cycle rate (steady window): 3.22 cycles/s  (43 -> 11640 cycles over 3600.7s)
[body] budget ms/obs: physics=7.9 vision=4.9 views=7.5 audio=0.0 send=294.3
[body] budget ms/obs: physics=8.3 vision=4.5 views=6.8 audio=0.0 send=218.9
store telemetry:
  "commit_lag_ms":  1.4924000133760273
  "ltm_match_ms":  0.1742999884299934
  "sqlite_commit_count":  1709
  "sqlite_batch_commit_count":  1709
  "sqlite_last_commit_ms":  55.1862999855075
  "graph_flush_ms":  100094.48299999349
  "graph_flush_lock_ms":  0.5757000180892646
  "graph_flush_queue_depth":  4
  "graph_flush_error_batches":  0
  "kuzu_vector_index_rebuilds":  0
